Issue Type,Custom field (Patch Info),Issue key,Issue id,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Due Date
Bug,,CAMEL-11599,13090050,XPath feature with Saxon implementation broken when ServiceMix jaxp-api is present in the endorsed classpath,davsclaus,nvoskresenskiy,Minor,Resolved,Fixed,2017-07-25 21:20,2018-01-12 13:23,
Bug,,CAMEL-11723,13098204,ManagedCamelContext.dumpRestsAsXml can fail if default charset is not utf-8,davsclaus,niels@harremoes.dk,Minor,Resolved,Fixed,2017-08-29 9:09,2017-09-09 7:53,
Bug,,CAMEL-11690,13096717,Done() called two times in RoutingSlip processor,davsclaus,stefanbo72,Minor,Resolved,Fixed,2017-08-22 12:31,2017-09-07 12:57,
Bug,,CAMEL-11726,13098479,Elsql producer inconsistent behavior compare to sql component producer,aldettinger,bonbonmark,Minor,Resolved,Fixed,2017-08-30 6:31,2017-09-07 6:56,
Bug,,CAMEL-11724,13098214,Camel-Hdfs2: No need for initialDelay and delay as configuration properties since they are already parameters of ScheduledPollConsumer,ancosen,ancosen,Minor,Resolved,Fixed,2017-08-29 9:49,2017-08-29 10:09,
Bug,,CAMEL-11417,13080313,route-reset-stats completion issue,ancosen,saravanakumar,Minor,Resolved,Fixed,2017-06-16 5:42,2017-06-16 8:01,
Bug,,CAMEL-12550,13163172,Camel-Twilio: Karaf feature is not working,ancosen,ancosen,Major,Resolved,Fixed,2018-05-31 14:31,2018-05-31 14:44,
Bug,,CAMEL-12359,13145846,withAdvice() + weaveById() failing for global onException() route definitions,davsclaus,nkhalasi,Major,Resolved,Fixed,2018-03-16 20:12,2018-03-21 12:14,
Bug,,CAMEL-11956,13112581,Support Spring 5.0.x,davsclaus,gnt,Major,Resolved,Fixed,2017-10-27 12:03,2018-03-21 7:49,
Bug,,CAMEL-12343,13144192,Using DefautMessage() and GenericFileMessage() without CamelContext throw Exception,davsclaus,fhassak,Major,Resolved,Not A Bug,2018-03-12 0:17,2018-03-17 18:44,
Bug,,CAMEL-12324,13142918,Issue:Camel rabbitmq publishes message to consumer exchange instead of publisher exchange,davsclaus,zohebp,Major,Closed,Not A Bug,2018-03-06 17:10,2018-03-07 9:18,
Bug,,CAMEL-11977,13115382,MongoDB Tailable cursor consumer fails to stop on shutdown,ancosen,Igorko,Major,Resolved,Fixed,2017-11-01 15:17,2018-02-12 11:23,
Bug,,CAMEL-12228,13136223,Print command fails in case of multiple copies,dmvolod,rvanderhallen,Major,Resolved,Fixed,2018-02-05 9:24,2018-02-06 6:50,
Bug,,CAMEL-11996,13116710,RabbitConsumer could hang when RabbitMQ connection is lost and autoAck=false.,davsclaus,jmongard,Major,Resolved,Fixed,2017-11-07 15:33,2018-02-02 8:53,
Bug,,CAMEL-12211,13134570,Idempotent on camel 2.20.0 and 2.20.1 allows duplication,davsclaus,pampanz,Major,Resolved,Duplicate,2018-01-29 21:35,2018-01-30 7:45,
Bug,,CAMEL-11940,13111381,Automate update of online xsd on each release,,apupier,Major,Open,,2017-10-23 11:44,2018-01-23 12:30,
Bug,,CAMEL-12155,13131821,Indicate Camel-Dozer major upgrade in Camel 2.20 release note and specify how to migrate,davsclaus,aurelien.pupier,Major,Resolved,Fixed,2018-01-18 9:11,2018-01-22 8:24,
Bug,,CAMEL-12134,13129821,spring-boot: two camel contexts created when using xml configuration,nferraro,nferraro,Major,Resolved,Fixed,2018-01-10 11:14,2018-01-11 7:35,
Bug,,CAMEL-12120,13128293,ErrorHandler is closed after failure in RoutingSlip ,davsclaus,sycyhy,Major,Resolved,Fixed,2018-01-03 19:04,2018-01-05 11:41,
Bug,,CAMEL-12113,13128191,"Camel healthcheck spring-boot actuators don't honor ""endpoints.*.enabled"" property ",davsclaus,valdar,Major,Resolved,Fixed,2018-01-03 9:34,2018-01-03 11:30,
Bug,,CAMEL-12110,13128045,KafkaConsumer swallows exceptions from org.apache.kafka.clients.consumer.KafkaConsumer constructor,davsclaus,lexsoto,Major,Resolved,Fixed,2018-01-02 18:42,2018-01-03 11:24,
Bug,,CAMEL-12072,13123472,Netty version in Camel 2.20.0+ not comptatable with Netty in camel-etcd component,ancosen,bobpaulin,Major,Resolved,Fixed,2017-12-07 13:59,2017-12-10 9:53,
Bug,,CAMEL-11919,13109979,"Salesforce REST API request headers not included in update,upsert,create and query operations",zregvart,dickengeorge,Major,Resolved,Fixed,2017-10-17 13:41,2017-11-25 23:48,
Bug,Patch Available,CAMEL-12037,13120666,File idempotent repository is always initialized with default 1000 cache size,,zurkin,Major,Resolved,Fixed,2017-11-24 17:18,2017-11-25 17:05,
Bug,,CAMEL-12016,13119605,Invalid Pool Exhausted error on camel-netty4,ancosen,dvor4x,Major,Resolved,Fixed,2017-11-20 10:12,2017-11-20 12:07,
Bug,,CAMEL-12010,13118486,Mock endpoint - Should reset StreamCache when evaluating expecations,davsclaus,davsclaus,Major,Resolved,Fixed,2017-11-15 9:26,2017-11-15 10:17,
Bug,,CAMEL-11999,13117192,Cannot create queue/message for Azure,tdiesler,tdiesler,Major,Resolved,Fixed,2017-11-09 6:41,2017-11-13 14:10,
Bug,,CAMEL-11900,13108901,cluster-service : only the first event listener is notified about cluster events,lb,lb,Major,Resolved,Fixed,2017-10-12 12:24,2017-11-11 11:42,
Bug,,CAMEL-12001,13117329,Cannot create a component based on the SqlComponent,lb,kstam,Major,Resolved,Fixed,2017-11-09 16:52,2017-11-10 8:44,
Bug,,CAMEL-12000,13117197,HazelcastRoutePolicy should handle server status change,,abccbaandy,Major,Open,,2017-11-09 7:31,2017-11-09 7:31,
Bug,,CAMEL-11998,13117005,Configuring SSL via endpointProperty in restConfiguration for an Undertow component will cause a BindException for multiple endpoints,,Rovo,Major,Open,,2017-11-08 15:29,2017-11-08 15:59,
Bug,,CAMEL-11997,13116909,camel-archetype-component - Should generate DefaultComponent,davsclaus,davsclaus,Major,Resolved,Fixed,2017-11-08 8:52,2017-11-08 8:59,
Bug,,CAMEL-11988,13115870,camel-jetty - Problem with laBug Spring Boot 1.5.8,davsclaus,davsclaus,Major,Resolved,Fixed,2017-11-03 9:37,2017-11-03 9:38,
Bug,,CAMEL-11970,13113416,JacksonDataFormat does not pickup custom ObjectMapper from Registry,davsclaus,tlark,Major,Resolved,Fixed,2017-10-31 19:49,2017-11-02 12:48,
Bug,,CAMEL-11978,13115431,camel-swagger-java - Include 200 status response as default in generated api-doc,davsclaus,davsclaus,Major,Resolved,Fixed,2017-11-01 18:28,2017-11-01 18:30,
Bug,,CAMEL-11974,13115353,Camel Commands do not install in Karaf 4.0.X,,brawlinson,Major,Resolved,Duplicate,2017-11-01 13:19,2017-11-01 13:22,
Bug,,CAMEL-11951,13112351,Uri matching does not match request type,davsclaus,robert.hillier,Major,Resolved,Fixed,2017-10-26 17:44,2017-10-31 19:00,
Bug,,CAMEL-11963,13112826,camel-spring-boot - Actuator endpoints for MVC should only trigger if web application,davsclaus,davsclaus,Major,Resolved,Fixed,2017-10-28 15:50,2017-10-28 15:56,
Bug,,CAMEL-11960,13112777,camel-swagger-java - Generated swagger doc should use primitive types,davsclaus,davsclaus,Major,Resolved,Fixed,2017-10-28 7:51,2017-10-28 7:55,
Bug,,CAMEL-11958,13112616,rest-dsl - Disable vendor extension by default,davsclaus,davsclaus,Major,Resolved,Fixed,2017-10-27 14:35,2017-10-27 14:54,
Bug,,CAMEL-11947,13112202,Possible race condition in iec60870 producer,,jamesnetherton,Major,Open,,2017-10-26 7:41,2017-10-26 7:41,
Bug,,CAMEL-11945,13111923,camel-spring-boot - CamelContextConfiguration afterApplicationStart should trigger later,davsclaus,davsclaus,Major,Resolved,Fixed,2017-10-25 9:59,2017-10-25 10:03,
Bug,,CAMEL-11925,13110661,Atmos component fails to load atmos.properties in a modular class loading environment ,jamesnetherton,jamesnetherton,Major,Resolved,Fixed,2017-10-19 12:51,2017-10-24 8:50,
Bug,,CAMEL-11939,13111362,asn1 dataformat is not part of xsd for global dataformat,,apupier,Major,Resolved,Cannot Reproduce,2017-10-23 10:44,2017-10-23 14:54,
Bug,,CAMEL-11938,13111360,Thrift data format is not part of the xsd for dataformats,,apupier,Major,Resolved,Cannot Reproduce,2017-10-23 10:40,2017-10-23 14:54,
Bug,,CAMEL-11936,13111340,Fix syntax for Atomix component,ancosen,apupier,Major,Resolved,Fixed,2017-10-23 9:01,2017-10-23 10:37,
Bug,,CAMEL-11935,13111315,Propagate Kafka record headers to camel headers,ancosen,ludvicekj,Major,Resolved,Fixed,2017-10-23 8:07,2017-10-23 9:04,
Bug,,CAMEL-11922,13110218,Persistent tail tracking picks random tail tracker from mongoDB collection,ancosen,Igorko,Major,Resolved,Fixed,2017-10-18 8:13,2017-10-20 11:15,
Bug,,CAMEL-11912,13109650,Camel Dropbox validator regex is too restrictive and fails for common paths,davsclaus,thagg1975,Major,Resolved,Fixed,2017-10-16 8:43,2017-10-20 10:44,
Bug,,CAMEL-11920,13110041,camel-hdfs2 not working in osgi using documented HdfsOsgiHelper,ancosen,valdar,Major,Resolved,Fixed,2017-10-17 17:01,2017-10-18 10:23,
Bug,,CAMEL-11873,13106467,Exclude validation-api from Salesforce component,zregvart,zregvart,Major,Resolved,Implemented,2017-10-02 16:10,2017-10-16 13:21,
Bug,,CAMEL-11911,13109437,Setup CI server to build 2.20.x SNAPSHOT builds,davsclaus,davsclaus,Major,Resolved,Fixed,2017-10-14 12:52,2017-10-16 11:04,
Bug,,CAMEL-11909,13109435,camel-catalog-maven - Cannot load out of the box components,davsclaus,davsclaus,Major,Resolved,Fixed,2017-10-14 12:23,2017-10-16 9:14,
Bug,,CAMEL-11902,13108975,cluster-service : FileLockClusterView should not always return local member as leader,lb,lb,Major,Resolved,Fixed,2017-10-12 16:50,2017-10-12 17:04,
Bug,,CAMEL-11892,13108510,SpringWebserviceConsumer and class cast exception,onders,r.groote@beinformed.com,Major,Resolved,Fixed,2017-10-11 6:59,2017-10-12 14:35,
Bug,,CAMEL-11890,13108043,camel-connector - Use JSon parser to parse the camel-connector-schema.json,davsclaus,davsclaus,Major,Resolved,Fixed,2017-10-09 18:17,2017-10-12 7:07,
Bug,,CAMEL-11895,13108601,camel-hystrix - Expose state of circuit breaker on JMX / processor,davsclaus,davsclaus,Major,Resolved,Fixed,2017-10-11 13:22,2017-10-12 7:07,
Bug,,CAMEL-11884,13107202,NPE when stopping Salesforce component that failed to start,zregvart,zregvart,Major,Resolved,Fixed,2017-10-05 11:23,2017-10-05 11:26,
Bug,,CAMEL-11867,13106099,camel-bom needs <distributionManagement/>,nferraro,tcunning,Major,Resolved,Fixed,2017-09-29 17:53,2017-10-03 9:52,
Bug,,CAMEL-11847,13105151,cluster-service : support multiple cluster services,lb,lb,Major,Resolved,Fixed,2017-09-26 16:24,2017-09-27 14:20,
Bug,,CAMEL-11842,13105071,ClassNotFoundException when configuring camel-docker SSL options,jamesnetherton,jamesnetherton,Major,Resolved,Fixed,2017-09-26 12:43,2017-09-27 7:06,
Bug,,CAMEL-11814,13104499,camel-spring-boot - Recent change in startup behaviour can cause camel-Bug-spring problems,zregvart,davsclaus,Major,Resolved,Fixed,2017-09-23 10:51,2017-09-26 12:55,
Bug,,CAMEL-11812,13104484,spring-boot-starter - Unit Bug fail in netty,davsclaus,davsclaus,Major,Resolved,Fixed,2017-09-23 8:30,2017-09-23 8:58,
Bug,,CAMEL-11768,13101132,camel-iBug-karaf - CamelDockerBug fails,tadayosi,tadayosi,Major,Resolved,Fixed,2017-09-11 3:08,2017-09-11 7:52,
Bug,,CAMEL-11758,13100339,camel-iBug-karaf - CamelBeanValidatorBug fails on Jenkins,tadayosi,tadayosi,Major,Resolved,Fixed,2017-09-07 1:23,2017-09-11 2:04,
Bug,,CAMEL-11759,13100349,camel-iBug-karaf - CamelNagiosBug fails,tadayosi,tadayosi,Major,Resolved,Fixed,2017-09-07 2:34,2017-09-07 7:26,
